c_order_id, c_order_date, c_order_time, c_order_subtotal, c_order_tax, c_order_total, c_order_payment_type
95, 2023-2-1, 12:27:42, 20, 1.65, 21.65, credit
96, 2023-2-1, 13:9:39, 29, 2.39, 31.39, cash
97, 2023-2-1, 13:51:27, 13, 1.07, 14.07, cash
98, 2023-2-1, 13:38:28, 17, 1.40, 18.40, debit
99, 2023-2-1, 17:16:17, 13, 1.07, 14.07, debit
100, 2023-2-1, 15:49:21, 23, 1.90, 24.90, cash
101, 2023-2-1, 14:36:54, 26, 2.15, 28.14, credit
102, 2023-2-1, 12:52:21, 22, 1.82, 23.82, cash
103, 2023-2-1, 15:13:15, 14, 1.16, 15.15, debit
104, 2023-2-1, 18:39:32, 22, 1.82, 23.82, credit
105, 2023-2-1, 18:45:20, 28, 2.31, 30.31, credit
106, 2023-2-1, 17:5:3, 9, 0.74, 9.74, credit
107, 2023-2-1, 11:2:6, 24, 1.98, 25.98, debit
108, 2023-2-1, 15:3:22, 23, 1.90, 24.90, credit
109, 2023-2-1, 17:14:27, 6, 0.49, 6.50, cash
110, 2023-2-1, 13:0:42, 11, 0.91, 11.91, debit
111, 2023-2-1, 22:8:22, 20, 1.65, 21.65, debit
112, 2023-2-1, 22:40:5, 9, 0.74, 9.74, credit
113, 2023-2-1, 15:4:21, 29, 2.39, 31.39, credit
114, 2023-2-1, 13:5:45, 11, 0.91, 11.91, cash
115, 2023-2-1, 21:55:46, 23, 1.90, 24.90, cash
116, 2023-2-1, 14:29:59, 25, 2.06, 27.06, debit
117, 2023-2-1, 12:10:35, 23, 1.90, 24.90, credit
118, 2023-2-1, 18:3:54, 21, 1.73, 22.73, debit
119, 2023-2-1, 12:14:37, 14, 1.16, 15.15, cash
120, 2023-2-1, 21:12:20, 24, 1.98, 25.98, credit
121, 2023-2-1, 15:6:10, 20, 1.65, 21.65, debit
122, 2023-2-1, 21:35:56, 14, 1.16, 15.15, debit
123, 2023-2-1, 18:22:55, 8, 0.66, 8.66, cash
124, 2023-2-1, 19:15:19, 25, 2.06, 27.06, credit
125, 2023-2-1, 19:56:7, 27, 2.23, 29.23, debit
126, 2023-2-1, 12:24:21, 16, 1.32, 17.32, debit
127, 2023-2-1, 18:43:25, 27, 2.23, 29.23, credit
128, 2023-2-1, 17:53:51, 10, 0.83, 10.82, cash
129, 2023-2-1, 14:27:39, 29, 2.39, 31.39, cash
130, 2023-2-1, 15:6:20, 24, 1.98, 25.98, credit
131, 2023-2-1, 22:59:41, 17, 1.40, 18.40, credit
132, 2023-2-1, 17:18:35, 7, 0.58, 7.58, credit
133, 2023-2-1, 19:45:56, 25, 2.06, 27.06, debit
134, 2023-2-1, 22:11:4, 25, 2.06, 27.06, debit
135, 2023-2-1, 13:27:17, 11, 0.91, 11.91, debit
136, 2023-2-1, 17:48:45, 21, 1.73, 22.73, credit
137, 2023-2-1, 20:29:13, 12, 0.99, 12.99, credit
138, 2023-2-1, 21:21:11, 11, 0.91, 11.91, cash
139, 2023-2-1, 12:11:6, 7, 0.58, 7.58, debit
140, 2023-2-1, 16:25:46, 20, 1.65, 21.65, cash
141, 2023-2-1, 16:40:32, 10, 0.83, 10.82, debit
142, 2023-2-1, 21:47:49, 25, 2.06, 27.06, debit
143, 2023-2-1, 11:29:52, 6, 0.49, 6.50, debit
144, 2023-2-1, 12:2:26, 22, 1.82, 23.82, credit
145, 2023-2-1, 21:57:39, 25, 2.06, 27.06, debit
146, 2023-2-1, 11:52:35, 22, 1.82, 23.82, debit
147, 2023-2-1, 17:53:19, 10, 0.83, 10.82, debit
148, 2023-2-1, 16:21:7, 26, 2.15, 28.14, cash
149, 2023-2-1, 15:52:36, 17, 1.40, 18.40, debit
150, 2023-2-1, 19:9:28, 15, 1.24, 16.24, credit
151, 2023-2-1, 11:49:52, 5, 0.41, 5.41, cash
152, 2023-2-1, 20:22:18, 5, 0.41, 5.41, cash
153, 2023-2-1, 15:19:2, 17, 1.40, 18.40, cash
154, 2023-2-1, 22:0:12, 29, 2.39, 31.39, cash
155, 2023-2-1, 11:25:36, 21, 1.73, 22.73, debit
156, 2023-2-2, 20:31:7, 15, 1.24, 16.24, credit
157, 2023-2-2, 19:52:49, 19, 1.57, 20.57, debit
158, 2023-2-2, 22:1:9, 16, 1.32, 17.32, cash
159, 2023-2-2, 16:32:15, 8, 0.66, 8.66, debit
160, 2023-2-2, 16:37:43, 23, 1.90, 24.90, cash
161, 2023-2-2, 16:0:28, 20, 1.65, 21.65, debit
162, 2023-2-2, 22:31:40, 25, 2.06, 27.06, credit
163, 2023-2-2, 15:30:9, 12, 0.99, 12.99, debit
164, 2023-2-2, 11:13:50, 6, 0.49, 6.50, credit
165, 2023-2-2, 18:52:32, 15, 1.24, 16.24, cash
166, 2023-2-2, 19:15:42, 21, 1.73, 22.73, debit
167, 2023-2-2, 13:15:32, 21, 1.73, 22.73, cash
168, 2023-2-2, 12:30:29, 7, 0.58, 7.58, cash
169, 2023-2-2, 21:49:15, 11, 0.91, 11.91, debit
170, 2023-2-2, 17:44:55, 15, 1.24, 16.24, credit
171, 2023-2-2, 11:35:5, 17, 1.40, 18.40, debit
172, 2023-2-2, 13:30:51, 22, 1.82, 23.82, cash
173, 2023-2-2, 18:42:57, 11, 0.91, 11.91, credit
174, 2023-2-2, 15:35:44, 6, 0.49, 6.50, debit
175, 2023-2-2, 13:49:12, 7, 0.58, 7.58, cash
176, 2023-2-2, 20:57:25, 9, 0.74, 9.74, credit
177, 2023-2-2, 21:38:3, 16, 1.32, 17.32, debit
178, 2023-2-2, 16:47:56, 14, 1.16, 15.15, debit
179, 2023-2-2, 18:49:15, 5, 0.41, 5.41, credit
180, 2023-2-2, 17:49:33, 6, 0.49, 6.50, debit
181, 2023-2-2, 11:20:39, 10, 0.83, 10.82, debit
182, 2023-2-2, 11:19:0, 17, 1.40, 18.40, cash
183, 2023-2-2, 13:38:24, 6, 0.49, 6.50, cash
184, 2023-2-2, 14:45:55, 21, 1.73, 22.73, cash
185, 2023-2-2, 15:42:22, 14, 1.16, 15.15, credit
186, 2023-2-2, 11:12:30, 21, 1.73, 22.73, cash
187, 2023-2-2, 20:54:50, 21, 1.73, 22.73, credit
188, 2023-2-2, 19:5:50, 21, 1.73, 22.73, credit
189, 2023-2-2, 14:7:38, 8, 0.66, 8.66, credit
190, 2023-2-2, 12:56:37, 6, 0.49, 6.50, credit
191, 2023-2-2, 21:57:18, 28, 2.31, 30.31, cash
192, 2023-2-2, 16:13:0, 25, 2.06, 27.06, debit
193, 2023-2-2, 12:51:1, 20, 1.65, 21.65, cash
194, 2023-2-2, 16:52:37, 6, 0.49, 6.50, cash
195, 2023-2-2, 16:12:9, 16, 1.32, 17.32, debit
196, 2023-2-2, 13:33:55, 8, 0.66, 8.66, debit
197, 2023-2-2, 19:47:43, 20, 1.65, 21.65, debit
198, 2023-2-2, 22:10:32, 26, 2.15, 28.14, debit
199, 2023-2-2, 18:9:36, 9, 0.74, 9.74, credit
200, 2023-2-2, 16:50:31, 13, 1.07, 14.07, debit
201, 2023-2-2, 22:9:41, 14, 1.16, 15.15, cash
202, 2023-2-2, 15:36:34, 14, 1.16, 15.15, debit
203, 2023-2-2, 19:3:20, 19, 1.57, 20.57, cash
204, 2023-2-2, 22:42:32, 7, 0.58, 7.58, cash
205, 2023-2-2, 20:20:37, 19, 1.57, 20.57, cash
206, 2023-2-2, 18:24:43, 15, 1.24, 16.24, debit
207, 2023-2-2, 17:18:48, 7, 0.58, 7.58, debit
208, 2023-2-2, 22:13:51, 10, 0.83, 10.82, cash
209, 2023-2-2, 12:15:50, 19, 1.57, 20.57, debit
210, 2023-2-2, 22:45:7, 14, 1.16, 15.15, debit
211, 2023-2-2, 15:45:8, 21, 1.73, 22.73, debit
212, 2023-2-2, 12:58:33, 24, 1.98, 25.98, cash
213, 2023-2-2, 11:12:15, 16, 1.32, 17.32, debit
214, 2023-2-2, 18:32:19, 20, 1.65, 21.65, debit
215, 2023-2-2, 22:2:56, 8, 0.66, 8.66, cash
216, 2023-2-2, 19:18:24, 19, 1.57, 20.57, credit
217, 2023-2-2, 17:32:36, 13, 1.07, 14.07, credit
218, 2023-2-2, 16:2:25, 9, 0.74, 9.74, debit
219, 2023-2-2, 16:5:50, 12, 0.99, 12.99, credit
220, 2023-2-2, 12:21:53, 8, 0.66, 8.66, debit
221, 2023-2-2, 18:52:11, 9, 0.74, 9.74, credit
222, 2023-2-2, 17:49:53, 27, 2.23, 29.23, cash
223, 2023-2-2, 18:16:27, 12, 0.99, 12.99, cash
224, 2023-2-2, 16:17:38, 14, 1.16, 15.15, credit
225, 2023-2-2, 20:1:45, 9, 0.74, 9.74, cash
226, 2023-2-2, 22:54:46, 7, 0.58, 7.58, credit
227, 2023-2-2, 21:58:32, 20, 1.65, 21.65, debit
228, 2023-2-2, 16:39:40, 22, 1.82, 23.82, cash
229, 2023-2-2, 22:25:53, 21, 1.73, 22.73, cash
230, 2023-2-2, 22:7:38, 26, 2.15, 28.14, debit
231, 2023-2-2, 11:10:7, 26, 2.15, 28.14, debit
232, 2023-2-2, 22:23:4, 27, 2.23, 29.23, debit
233, 2023-2-2, 15:32:13, 25, 2.06, 27.06, cash
234, 2023-2-2, 17:16:48, 9, 0.74, 9.74, credit
235, 2023-2-2, 14:51:55, 28, 2.31, 30.31, debit
236, 2023-2-2, 21:28:10, 13, 1.07, 14.07, debit
237, 2023-2-2, 18:55:30, 17, 1.40, 18.40, credit
238, 2023-2-2, 12:6:32, 12, 0.99, 12.99, debit
239, 2023-2-2, 12:26:40, 26, 2.15, 28.14, debit
240, 2023-2-2, 19:55:17, 27, 2.23, 29.23, cash
241, 2023-2-2, 17:17:1, 26, 2.15, 28.14, cash
242, 2023-2-2, 18:56:6, 15, 1.24, 16.24, debit
243, 2023-2-2, 21:3:2, 13, 1.07, 14.07, debit
244, 2023-2-2, 20:17:26, 25, 2.06, 27.06, credit
245, 2023-2-2, 19:35:20, 17, 1.40, 18.40, credit
246, 2023-2-2, 20:55:48, 23, 1.90, 24.90, credit
247, 2023-2-2, 20:24:43, 24, 1.98, 25.98, debit
248, 2023-2-2, 13:9:5, 15, 1.24, 16.24, credit
249, 2023-2-2, 21:7:9, 5, 0.41, 5.41, cash
250, 2023-2-2, 16:11:44, 16, 1.32, 17.32, credit
251, 2023-2-2, 18:45:1, 10, 0.83, 10.82, credit
252, 2023-2-2, 18:24:59, 26, 2.15, 28.14, cash
253, 2023-2-2, 11:15:14, 18, 1.49, 19.48, debit
254, 2023-2-2, 21:48:33, 12, 0.99, 12.99, debit
255, 2023-2-2, 11:25:4, 24, 1.98, 25.98, credit
256, 2023-2-2, 14:46:5, 15, 1.24, 16.24, cash
257, 2023-2-2, 13:49:59, 12, 0.99, 12.99, cash
258, 2023-2-2, 18:7:15, 24, 1.98, 25.98, credit
259, 2023-2-2, 21:57:14, 16, 1.32, 17.32, cash
260, 2023-2-2, 15:1:33, 17, 1.40, 18.40, credit
261, 2023-2-2, 17:31:3, 23, 1.90, 24.90, debit
262, 2023-2-2, 12:14:19, 11, 0.91, 11.91, credit
263, 2023-2-2, 11:9:3, 12, 0.99, 12.99, credit
264, 2023-2-2, 14:58:35, 15, 1.24, 16.24, debit
265, 2023-2-2, 15:33:54, 5, 0.41, 5.41, credit
266, 2023-2-2, 19:35:16, 8, 0.66, 8.66, credit
267, 2023-2-2, 17:26:55, 14, 1.16, 15.15, credit
268, 2023-2-2, 18:42:53, 22, 1.82, 23.82, cash
269, 2023-2-2, 17:44:32, 11, 0.91, 11.91, cash
270, 2023-2-2, 16:20:19, 6, 0.49, 6.50, cash
271, 2023-2-2, 13:57:53, 17, 1.40, 18.40, debit
272, 2023-2-2, 20:22:42, 16, 1.32, 17.32, cash
273, 2023-2-2, 15:43:9, 26, 2.15, 28.14, debit
274, 2023-2-2, 12:4:48, 22, 1.82, 23.82, cash
275, 2023-2-2, 18:41:18, 6, 0.49, 6.50, credit
276, 2023-2-2, 22:19:0, 26, 2.15, 28.14, cash
277, 2023-2-2, 15:5:30, 9, 0.74, 9.74, debit
278, 2023-2-2, 14:17:1, 11, 0.91, 11.91, debit
279, 2023-2-2, 17:57:4, 20, 1.65, 21.65, cash
280, 2023-2-2, 20:45:40, 23, 1.90, 24.90, debit
281, 2023-2-2, 19:57:50, 15, 1.24, 16.24, debit
282, 2023-2-2, 15:32:51, 29, 2.39, 31.39, debit
283, 2023-2-2, 12:32:24, 10, 0.83, 10.82, debit
284, 2023-2-2, 14:5:16, 22, 1.82, 23.82, debit
285, 2023-2-2, 12:10:26, 7, 0.58, 7.58, cash
286, 2023-2-2, 15:48:8, 8, 0.66, 8.66, debit
287, 2023-2-2, 13:20:6, 26, 2.15, 28.14, cash
288, 2023-2-2, 17:41:15, 5, 0.41, 5.41, debit
289, 2023-2-2, 19:35:11, 26, 2.15, 28.14, debit
290, 2023-2-2, 15:49:48, 17, 1.40, 18.40, credit
291, 2023-2-2, 22:26:13, 8, 0.66, 8.66, credit
292, 2023-2-2, 16:11:56, 19, 1.57, 20.57, debit
293, 2023-2-2, 18:29:4, 5, 0.41, 5.41, cash
294, 2023-2-2, 20:15:27, 12, 0.99, 12.99, debit
295, 2023-2-2, 15:38:43, 17, 1.40, 18.40, cash
296, 2023-2-2, 13:7:9, 29, 2.39, 31.39, credit
297, 2023-2-2, 11:27:54, 27, 2.23, 29.23, credit
298, 2023-2-2, 13:55:9, 22, 1.82, 23.82, debit
299, 2023-2-2, 14:9:34, 6, 0.49, 6.50, cash
300, 2023-2-2, 13:21:55, 25, 2.06, 27.06, credit
301, 2023-2-2, 15:7:33, 24, 1.98, 25.98, debit
302, 2023-2-2, 12:44:37, 16, 1.32, 17.32, debit
303, 2023-2-2, 20:59:34, 7, 0.58, 7.58, credit
304, 2023-2-2, 13:33:57, 29, 2.39, 31.39, credit
305, 2023-2-2, 18:50:13, 20, 1.65, 21.65, credit
306, 2023-2-2, 20:15:58, 28, 2.31, 30.31, debit
307, 2023-2-2, 20:50:43, 24, 1.98, 25.98, debit
308, 2023-2-2, 16:1:12, 18, 1.49, 19.48, cash
309, 2023-2-2, 17:11:45, 28, 2.31, 30.31, cash
310, 2023-2-2, 18:56:10, 10, 0.83, 10.82, credit
311, 2023-2-2, 21:23:56, 27, 2.23, 29.23, debit
312, 2023-2-2, 20:12:59, 23, 1.90, 24.90, cash
313, 2023-2-2, 12:33:21, 17, 1.40, 18.40, debit
314, 2023-2-2, 21:44:29, 18, 1.49, 19.48, cash
315, 2023-2-2, 16:52:46, 15, 1.24, 16.24, cash
316, 2023-2-2, 18:48:31, 12, 0.99, 12.99, credit
317, 2023-2-2, 21:2:43, 10, 0.83, 10.82, credit
318, 2023-2-2, 20:24:5, 6, 0.49, 6.50, credit
319, 2023-2-2, 20:25:8, 13, 1.07, 14.07, credit
320, 2023-2-2, 12:29:59, 25, 2.06, 27.06, debit
321, 2023-2-2, 20:44:4, 18, 1.49, 19.48, debit
322, 2023-2-2, 19:33:52, 14, 1.16, 15.15, cash
323, 2023-2-2, 15:56:24, 8, 0.66, 8.66, credit
324, 2023-2-2, 13:32:43, 8, 0.66, 8.66, debit
325, 2023-2-2, 16:40:37, 12, 0.99, 12.99, debit
326, 2023-2-2, 17:33:58, 25, 2.06, 27.06, debit
327, 2023-2-3, 22:39:29, 8, 0.66, 8.66, cash
328, 2023-2-3, 20:49:6, 24, 1.98, 25.98, debit
329, 2023-2-3, 16:52:25, 11, 0.91, 11.91, credit
330, 2023-2-3, 17:20:6, 23, 1.90, 24.90, cash
331, 2023-2-3, 17:52:17, 14, 1.16, 15.15, debit
332, 2023-2-3, 12:37:35, 26, 2.15, 28.14, debit
333, 2023-2-3, 21:26:16, 5, 0.41, 5.41, cash
334, 2023-2-3, 11:46:32, 20, 1.65, 21.65, credit
335, 2023-2-3, 18:47:36, 21, 1.73, 22.73, debit
336, 2023-2-3, 19:48:38, 28, 2.31, 30.31, cash
337, 2023-2-3, 19:56:25, 12, 0.99, 12.99, credit
338, 2023-2-3, 22:41:50, 17, 1.40, 18.40, credit
339, 2023-2-3, 22:19:39, 22, 1.82, 23.82, debit
340, 2023-2-3, 17:49:33, 8, 0.66, 8.66, debit
341, 2023-2-3, 12:20:4, 5, 0.41, 5.41, debit
342, 2023-2-3, 13:7:47, 15, 1.24, 16.24, cash
343, 2023-2-3, 12:59:48, 15, 1.24, 16.24, cash
344, 2023-2-3, 14:53:3, 6, 0.49, 6.50, cash
345, 2023-2-3, 13:8:38, 29, 2.39, 31.39, debit
346, 2023-2-3, 11:54:36, 5, 0.41, 5.41, credit
347, 2023-2-3, 14:2:56, 22, 1.82, 23.82, cash
348, 2023-2-3, 12:30:21, 6, 0.49, 6.50, cash
349, 2023-2-3, 20:2:4, 15, 1.24, 16.24, cash
350, 2023-2-3, 12:3:55, 9, 0.74, 9.74, debit
351, 2023-2-3, 11:44:5, 7, 0.58, 7.58, cash
352, 2023-2-3, 19:7:1, 28, 2.31, 30.31, credit
353, 2023-2-3, 19:41:33, 23, 1.90, 24.90, credit
354, 2023-2-3, 12:44:27, 8, 0.66, 8.66, debit
355, 2023-2-3, 17:35:31, 14, 1.16, 15.15, cash
356, 2023-2-3, 18:44:59, 17, 1.40, 18.40, debit
357, 2023-2-3, 12:25:12, 15, 1.24, 16.24, credit
358, 2023-2-3, 12:19:23, 6, 0.49, 6.50, credit
359, 2023-2-3, 20:31:41, 12, 0.99, 12.99, credit
360, 2023-2-3, 20:43:38, 29, 2.39, 31.39, debit
361, 2023-2-3, 11:8:50, 18, 1.49, 19.48, cash
362, 2023-2-3, 12:46:0, 22, 1.82, 23.82, debit
363, 2023-2-3, 19:45:30, 15, 1.24, 16.24, cash
364, 2023-2-3, 13:41:15, 7, 0.58, 7.58, cash
365, 2023-2-3, 14:58:19, 26, 2.15, 28.14, cash
366, 2023-2-3, 15:21:47, 18, 1.49, 19.48, credit
367, 2023-2-3, 15:56:29, 25, 2.06, 27.06, cash
368, 2023-2-3, 21:48:29, 11, 0.91, 11.91, cash
369, 2023-2-3, 16:19:49, 18, 1.49, 19.48, cash
370, 2023-2-3, 16:45:46, 27, 2.23, 29.23, credit
371, 2023-2-3, 17:8:41, 16, 1.32, 17.32, cash
372, 2023-2-3, 21:52:17, 12, 0.99, 12.99, debit
373, 2023-2-3, 20:2:52, 29, 2.39, 31.39, debit
374, 2023-2-3, 17:18:48, 21, 1.73, 22.73, debit
375, 2023-2-3, 19:34:30, 25, 2.06, 27.06, debit
376, 2023-2-3, 18:13:8, 5, 0.41, 5.41, debit
377, 2023-2-3, 18:30:27, 24, 1.98, 25.98, debit
378, 2023-2-3, 15:46:53, 24, 1.98, 25.98, debit
379, 2023-2-3, 20:26:2, 17, 1.40, 18.40, cash
380, 2023-2-3, 13:14:13, 11, 0.91, 11.91, debit
381, 2023-2-3, 21:38:42, 6, 0.49, 6.50, debit
382, 2023-2-3, 13:12:24, 9, 0.74, 9.74, debit
383, 2023-2-3, 21:4:43, 7, 0.58, 7.58, credit
384, 2023-2-3, 21:48:27, 15, 1.24, 16.24, credit
385, 2023-2-3, 20:27:9, 25, 2.06, 27.06, debit
386, 2023-2-3, 22:51:31, 13, 1.07, 14.07, credit
387, 2023-2-3, 16:37:24, 16, 1.32, 17.32, credit
388, 2023-2-3, 13:21:19, 23, 1.90, 24.90, cash
389, 2023-2-3, 20:51:13, 29, 2.39, 31.39, cash
390, 2023-2-3, 12:51:39, 29, 2.39, 31.39, credit
391, 2023-2-3, 17:3:6, 6, 0.49, 6.50, credit
392, 2023-2-3, 17:45:22, 18, 1.49, 19.48, cash
393, 2023-2-3, 13:0:13, 28, 2.31, 30.31, debit
394, 2023-2-3, 17:7:52, 28, 2.31, 30.31, debit
395, 2023-2-3, 16:43:31, 19, 1.57, 20.57, debit
396, 2023-2-3, 13:3:46, 12, 0.99, 12.99, cash
397, 2023-2-3, 19:55:49, 28, 2.31, 30.31, credit
398, 2023-2-3, 19:27:8, 20, 1.65, 21.65, credit
399, 2023-2-3, 15:4:44, 15, 1.24, 16.24, debit
400, 2023-2-3, 16:1:43, 16, 1.32, 17.32, credit
401, 2023-2-3, 22:21:35, 22, 1.82, 23.82, debit
402, 2023-2-3, 11:27:27, 11, 0.91, 11.91, debit
403, 2023-2-3, 14:54:3, 17, 1.40, 18.40, cash
404, 2023-2-3, 21:24:14, 8, 0.66, 8.66, cash
405, 2023-2-3, 16:55:14, 19, 1.57, 20.57, cash
406, 2023-2-3, 22:10:22, 24, 1.98, 25.98, debit
407, 2023-2-3, 18:39:4, 8, 0.66, 8.66, credit
408, 2023-2-3, 14:13:5, 6, 0.49, 6.50, debit
409, 2023-2-3, 15:47:15, 13, 1.07, 14.07, cash
410, 2023-2-3, 19:7:48, 11, 0.91, 11.91, debit
411, 2023-2-3, 15:38:4, 29, 2.39, 31.39, credit
412, 2023-2-3, 22:14:18, 21, 1.73, 22.73, credit
413, 2023-2-3, 19:34:51, 14, 1.16, 15.15, debit
414, 2023-2-3, 14:26:26, 14, 1.16, 15.15, cash
415, 2023-2-3, 19:7:50, 11, 0.91, 11.91, cash
416, 2023-2-3, 22:57:19, 27, 2.23, 29.23, cash
417, 2023-2-3, 16:30:35, 7, 0.58, 7.58, credit
418, 2023-2-3, 11:1:17, 8, 0.66, 8.66, credit
419, 2023-2-3, 20:37:7, 12, 0.99, 12.99, credit
420, 2023-2-3, 11:23:43, 12, 0.99, 12.99, debit
